EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,03/01/2020,23:00,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
GILROY HOT SPGS,SANTA CLARA CO.,CA,03/17/2020,13:56,PST-8,Hail,0.25 in.,0,0,0.00K,0.00K
LOS GATOS,SANTA CLARA CO.,CA,03/25/2020,10:55,PST-8,Hail,0.38 in.,0,0,0.00K,0.00K
PALO ALTO,SANTA CLARA CO.,CA,03/25/2020,11:00,PST-8,Hail,0.25 in.,0,0,0.00K,0.00K
MOUNTAIN VIEW,SANTA CLARA CO.,CA,03/25/2020,11:00,PST-8,Hail,0.35 in.,0,0,0.00K,0.00K
MOUNTAIN VIEW,SANTA CLARA CO.,CA,03/25/2020,11:15,PST-8,Hail,0.25 in.,0,0,0.00K,0.00K
GILROY,SANTA CLARA CO.,CA,03/25/2020,11:41,PST-8,Hail,0.25 in.,0,0,0.00K,0.00K
SUNNYVALE,SANTA CLARA CO.,CA,03/25/2020,14:30,PST-8,Hail,0.25 in.,0,0,0.00K,0.00K
GILROY,SANTA CLARA CO.,CA,03/25/2020,14:44,PST-8,Hail,0.25 in.,0,0,0.00K,0.00K
SANTA CLARA,SANTA CLARA CO.,CA,03/25/2020,15:07,PST-8,Hail,0.25 in.,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,04/05/2020,6:21,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,04/05/2020,6:53,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,04/05/2020,7:01,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,04/05/2020,7:11,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,04/05/2020,7:29,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
EVERGREEN,SANTA CLARA CO.,CA,04/06/2020,11:09,PST-8,Hail,0.75 in.,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,06/04/2020,17:00,PST-8,Wildfire,,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,06/05/2020,3:12,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,06/05/2020,13:28,PST-8,Strong Wind,42 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,06/07/2020,14:56,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,07/04/2020,12:28,PST-8,Wildfire,,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,07/04/2020,22:00,PST-8,Wildfire,,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,07/05/2020,14:00,PST-8,Wildfire,,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,08/14/2020,16:00,PST-8,Excessive Heat,,0,0,0.00K,0.00K
OLD GILROY,SANTA CLARA CO.,CA,08/16/2020,2:19,PST-8,Thunderstorm Wind,40 kts. EG,0,0,0.00K,0.00K
LOS GATOS,SANTA CLARA CO.,CA,08/16/2020,2:32,PST-8,Thunderstorm Wind,53 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,08/16/2020,4:00,PST-8,Wildfire,,0,6,0.00K,0.00K
PALO ALTO,SANTA CLARA CO.,CA,08/16/2020,4:00,PST-8,Lightning,,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,08/16/2020,5:41,PST-8,Wildfire,,1,3,0.00K,0.00K
SAN JOSE,SANTA CLARA CO.,CA,08/16/2020,7:00,PST-8,Lightning,,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,08/16/2020,11:00,PST-8,Excessive Heat,,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,08/23/2020,19:28,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,08/23/2020,21:50,PST-8,Strong Wind,26 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,08/23/2020,21:50,PST-8,Strong Wind,30 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,08/23/2020,22:12,PST-8,Strong Wind,30 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,09/01/2020,0:00,PST-8,Wildfire,,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,09/01/2020,0:00,PST-8,Wildfire,,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,09/06/2020,13:00,PST-8,Excessive Heat,,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,09/07/2020,13:00,PST-8,Excessive Heat,,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,09/08/2020,4:10,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,09/27/2020,13:50,PST-8,Strong Wind,29 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,09/28/2020,2:10,PST-8,Strong Wind,30 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/15/2020,1:30,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/15/2020,1:50,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/22/2020,6:40,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/22/2020,8:40,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/25/2020,19:30,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,10/25/2020,21:20,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/25/2020,22:18,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,10/25/2020,22:20,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/25/2020,23:19,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/25/2020,23:50,PST-8,High Wind,52 kts. MG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,10/26/2020,1:00,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/26/2020,3:30,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/26/2020,6:30,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,11/06/2020,2:12,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,11/06/2020,2:19,PST-8,Strong Wind,36 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,11/08/2020,7:45,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,11/08/2020,7:56,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,11/08/2020,14:45,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,12/07/2020,1:00,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,12/07/2020,1:20,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,12/07/2020,3:15,PST-8,High Wind,52 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,12/07/2020,6:00,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,12/14/2020,10:48,PST-8,Coastal Flood,,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/11/2021,10:30,PST-8,Coastal Flood,,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/12/2021,11:00,PST-8,Coastal Flood,,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/18/2021,11:21,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/18/2021,15:10,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/18/2021,18:50,PST-8,High Wind,35 kts. MS,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/18/2021,21:00,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/19/2021,1:50,PST-8,High Wind,35 kts. MS,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,1:55,PST-8,High Wind,52 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,2:30,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,2:56,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,3:33,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/19/2021,5:11,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,5:30,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,6:10,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,6:38,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/19/2021,6:38,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,7:00,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,7:13,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,7:36,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,8:02,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,8:05,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/19/2021,8:20,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,8:29,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,8:42,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,8:51,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,9:42,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,9:50,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,10:18,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,12:21,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,13:49,PST-8,Strong Wind,40 kts. EG,0,0,0.50K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,14:30,PST-8,Wildfire,,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/26/2021,6:45,PST-8,Frost/freeze,,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/26/2021,19:00,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/26/2021,19:00,PST-8,Winter Weather,,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/26/2021,19:18,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/26/2021,19:30,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/26/2021,20:00,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/26/2021,20:40,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/26/2021,20:40,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/26/2021,20:43,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/26/2021,20:45,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/26/2021,21:02,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/26/2021,21:15,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/26/2021,21:28,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/26/2021,21:50,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
